participant_id,ordering,technique,easy_understand,mentally_easy_use,physically_easy_use,could_go_fast,subjective_performance,frustration,preference
0,PhoneOnlyFirst,PhoneOnly,5,3,4,3,4,3,2
0,PhoneOnlyFirst,PhoneInArOut,5,5,5,5,5,5,1
0,PhoneOnlyFirst,LeapInArOut,4,4,3,3,3,2,3
1,PhoneOnlyFirst,PhoneOnly,5,2,3,2,2,1,3
1,PhoneOnlyFirst,PhoneInArOut,5,4,3,4,3,3,2
1,PhoneOnlyFirst,LeapInArOut,5,4,2,3,2,3,1
2,PhoneInArOutFirst,PhoneOnly,5,3,3,5,4,5,3
2,PhoneInArOutFirst,PhoneInArOut,5,5,5,4,5,5,2
2,PhoneInArOutFirst,LeapInArOut,5,5,5,4,4,4,1
3,LeapInArOutFirst,PhoneOnly,5,4,5,5,4,5,3
3,LeapInArOutFirst,PhoneInArOut,5,5,5,5,5,5,1
3,LeapInArOutFirst,LeapInArOut,5,5,4,3,3,4,2
4,PhoneOnlyFirst,PhoneOnly,5,3,3,4,3,3,3
4,PhoneOnlyFirst,PhoneInArOut,5,5,5,5,5,5,1
4,PhoneOnlyFirst,LeapInArOut,5,4,2,4,4,1,2
5,PhoneInArOutFirst,PhoneOnly,5,5,5,5,5,5,1
5,PhoneInArOutFirst,PhoneInArOut,5,5,5,5,5,5,2
5,PhoneInArOutFirst,LeapInArOut,5,5,3,4,4,2,3
6,LeapInArOutFirst,PhoneOnly,5,3,4,5,4,3,2
6,LeapInArOutFirst,PhoneInArOut,5,5,5,5,5,3,1
6,LeapInArOutFirst,LeapInArOut,4,5,2,1,1,1,3
7,PhoneOnlyFirst,PhoneOnly,5,3,1,1,3,1,3
7,PhoneOnlyFirst,PhoneInArOut,5,4,1,3,4,1,2
7,PhoneOnlyFirst,LeapInArOut,3,5,1,5,5,1,1
8,LeapInArOutFirst,PhoneOnly,5,4,3,5,4,4,2
8,LeapInArOutFirst,PhoneInArOut,5,5,5,5,5,5,1
8,LeapInArOutFirst,LeapInArOut,5,2,5,2,2,3,3
9,PhoneInArOutFirst,PhoneOnly,5,3,5,5,3,5,2
9,PhoneInArOutFirst,PhoneInArOut,5,5,4,4,5,4,1
9,PhoneInArOutFirst,LeapInArOut,4,5,1,3,3,2,3
10,PhoneOnlyFirst,PhoneOnly,5,3,5,4,4,3,2
10,PhoneOnlyFirst,PhoneInArOut,5,4,5,4,5,4,1
10,PhoneOnlyFirst,LeapInArOut,4,5,2,3,3,2,3
11,PhoneInArOutFirst,PhoneOnly,5,4,5,5,4,5,3
11,PhoneInArOutFirst,PhoneInArOut,4,3,4,4,4,4,1
11,PhoneInArOutFirst,LeapInArOut,3,4,3,3,3,3,2
12,LeapInArOutFirst,PhoneOnly,5,4,2,2,4,4,3
12,LeapInArOutFirst,PhoneInArOut,5,5,3,5,5,5,1
12,LeapInArOutFirst,LeapInArOut,5,5,4,3,4,5,2
13,PhoneOnlyFirst,PhoneOnly,5,2,1,2,1,1,3
13,PhoneOnlyFirst,PhoneInArOut,5,4,4,4,5,4,1
13,PhoneOnlyFirst,LeapInArOut,3,3,3,3,4,4,2
