participant_id,sex,glasses,contact_lenses,color_blind,age,dominant_hand,mouse_hand,activity,computer_hours_day,softwares_3d,hmd_used,hmd_interactions
0,M,TRUE,FALSE,FALSE,21-25,right,right,Augmented Reality Master Student,9,"[video games, Unity 3D]","[HoloLens, Oculus DK2, HTC Vive, Oculus Rift, Google Cardboard]","[controllers, gaze, tap, leap]"
1,F,TRUE,FALSE,FALSE,46-50,right,right,Project Manager,6,[],[Oculus DK2],[gaze]
2,M,FALSE,FALSE,FALSE,21-25,left,right,Law Student,7,[],[],[]
3,M,FALSE,FALSE,FALSE,21-25,right,right,Interior Designer,6,"[video games, sketchup]",[Oculus DK2],[gaze]
4,F,FALSE,FALSE,FALSE,26-30,right,right,Veterinary,4,[],"[HTC Vive, Google Cardboard]","[controllers, gaze]"
5,M,TRUE,FALSE,FALSE,21-25,left,right,Salesman,5,[video games],[],[]
6,M,FALSE,FALSE,TRUE,21-25,right,right,Virtual Reality Engineer,6,"[video games, Unity 3D]","[Oculus DK2, HTC Vive, Oculus Rift, Google Cardboard, Gear VR, DAQRI, CAVE]","[controllers, gaze, leap]"
7,M,FALSE,FALSE,FALSE,21-25,right,right,Computer Science PhD Student,8,"[video games, Unity 3D, Unreal Engine, Blender]","[Oculus DK2, Oculus Rift, HTC Vive]","[controllers, gaze]"
8,M,FALSE,FALSE,FALSE,21-25,right,right,Business Master Student,5,[video games],[],[]
9,M,FALSE,FALSE,FALSE,21-25,right,right,Architecture Master Student,4,"[video games, sketchup]","[Oculus Rift, Google Cardboard]",[gaze]
10,M,FALSE,FALSE,FALSE,16-20,right,right,Political Science Student,4,[video games],[Oculus Rift],[controllers]
11,F,FALSE,FALSE,FALSE,16-20,right,right,Secondary School,5,[],[],[]
12,F,FALSE,FALSE,FALSE,16-20,right,right,Secondary School,3,[],[],[]
13,M,FALSE,FALSE,FALSE,16-20,right,right,Business Student,4,[video games],[Oculus DK2],[gaze]
